Place of interest,Type of Place,Place Address,BiciMAD Station,Station Location,Distance
Campo de Golf del Centro Nacional de Golf,Principales espacios de deporte,CALLE ARROYO DEL MONTE 5,261 - Facultad Derecho,Avenida Complutense nº 23,3887.705045198832
Campo de Golf del Club de Golf Olivar de la Hinojosa,Principales espacios de deporte,CALLE VIA DE DUBLIN  SIN NÚMERO,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,5235.404880589511
Centro Comercial Dreams - Palacio Municipal de Hielo,Principales espacios de deporte,CALLE SILVANO 77,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2591.237763061373
Centro Deportivo Municipal  María Jesús Rosa (La Vaguada),Principales espacios de deporte,AVENIDA MONFORTE DE LEMOS 38,207 - Remonta,Calle Azucenas nº 1,2162.7851631011235
Centro Deportivo Municipal Alcántara,Principales espacios de deporte,CALLE ALCANTARA 26,89 - Conde Peñalver,Calle Ayala nº 102,189.09123329997857
Centro Deportivo Municipal Alfredo Goyeneche,Principales espacios de deporte,CALLE ARROYO DE POZUELO 99,261 - Facultad Derecho,Avenida Complutense nº 23,6015.607294278776
Centro Deportivo Municipal Aluche,Principales espacios de deporte,AVENIDA DE LAS AGUILAS 14,224 - Caramuel,Calle Caramuel nº 51,5829.516801746651
Centro Deportivo Municipal Antiguo Canódromo,Principales espacios de deporte,CALLE VIA CARPETANA 57,224 - Caramuel,Calle Caramuel nº 51,1448.2821468885031
Centro Deportivo Municipal Antonio Díaz Miguel,Principales espacios de deporte,CALLE JOAQUIN DICENTA 1,248 - Torre Cepsa,Calle Sinesio Delgado nº 2,889.965053843621
Centro Deportivo Municipal Barajas,Principales espacios de deporte,AVENIDA LOGROÑO 70,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,7006.683407559736
Centro Deportivo Municipal Barceló,Principales espacios de deporte,MERCADO BARCELO 6 PLANTA 4º,54 - Barceló,Calle Barceló nº 7,177.97883512670484
Centro Deportivo Municipal Blanca Fernández Ochoa (La Mina),Principales espacios de deporte,CALLE MONSEÑOR OSCAR ROMERO 41,224 - Caramuel,Calle Caramuel nº 51,3586.875133726781
Centro Deportivo Municipal Casa de Campo,Principales espacios de deporte,PASEO PUERTA DEL ANGEL 7,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,638.8004572891888
Centro Deportivo Municipal Centro Integrado Arganzuela,Principales espacios de deporte,CALLE CANARIAS 17,120 - Palos de la Frontera,Calle Palos de la Frontera nº 27,173.78466169054158
